DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AL,2011,1953.468
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AL,2012,1790.623
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AL,2013,1961.871
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AL,2014,2058.574
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AL,2015,1962.498
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AL,2016,1899.558
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AL,2017,2078.928
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AL,2018,2134.212
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AL,2019,2053.036
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AL,2020,1840.668
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AL,2021,2012.504
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AL,2022,1958.847
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AT,2011,25092.859
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AT,2012,25201.329
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AT,2013,25801.476
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AT,2014,24760.998
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AT,2015,25475.009
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AT,2016,26099.472
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AT,2017,26502.78
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AT,2018,26042.437
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AT,2019,26221.621
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AT,2020,24872.933
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AT,2021,26487.778
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,AT,2022,24823.616
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BA,2014,3103.624
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BA,2015,3316.907
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BA,2016,3543.934
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BA,2017,3497.933
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BA,2018,4211.931
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BA,2019,4207.688
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BA,2020,4024.489
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BA,2021,4305.32
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BA,2022,4290.012
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BE,2011,32624.012
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BE,2012,33058.28
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BE,2013,34107.252
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BE,2014,31594.248
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BE,2015,33155.9
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BE,2016,33437.524
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BE,2017,32979.543
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BE,2018,33204.836
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BE,2019,32590.234
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BE,2020,30938.838
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BE,2021,33173.523
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BE,2022,30383.39
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BG,2011,9125.105
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BG,2012,9103.369
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BG,2013,8680.757
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BG,2014,8881.501
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BG,2015,9388.553
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BG,2016,9517.949
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BG,2017,9745.903
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BG,2018,9757.67
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BG,2019,9719.6
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BG,2020,9499.659
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BG,2021,10164.447
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,BG,2022,9854.067
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CY,2011,1614.212
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CY,2012,1492.799
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CY,2013,1372.455
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CY,2014,1377.348
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CY,2015,1423.923
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CY,2016,1490.606
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CY,2017,1551.546
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CY,2018,1581.273
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CY,2019,1626.652
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CY,2020,1525.932
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CY,2021,1584.965
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CY,2022,1609.596
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CZ,2011,23337.059
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CZ,2012,23326.229
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CZ,2013,23131.377
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CZ,2014,22445.593
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CZ,2015,23100.094
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CZ,2016,23695.026
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CZ,2017,24445.396
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CZ,2018,24190.964
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CZ,2019,24227.514
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CZ,2020,23766.194
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CZ,2021,25315.247
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,CZ,2022,24232.335
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,DE,2011,199292.537
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,DE,2012,202662.536
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,DE,2013,208057.421
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,DE,2014,197229.019
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,DE,2015,200031.296
ESTAT:TEN00124(1.0),24/05/2024 23:00,A,FC_E,TOTAL,KTOE,DE,2016,203666.981
