ID,Statistic Label,TLIST(A1),Year,C04042V04804,Type of Building,C03440V04149,Energy Rating,UNIT,VALUE
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,10,Community/day centre,13,A - B,Mean kilowatt-hours,27244
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,10,Community/day centre,07,C,Mean kilowatt-hours,28808
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,10,Community/day centre,08,D,Mean kilowatt-hours,22872
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,10,Community/day centre,09,E,Mean kilowatt-hours,27276
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,10,Community/day centre,10,F- G,Mean kilowatt-hours,18539
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,10,Community/day centre,-,All BER ratings,Mean kilowatt-hours,24292
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,20,Office,13,A - B,Mean kilowatt-hours,91976
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,20,Office,07,C,Mean kilowatt-hours,48340
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,20,Office,08,D,Mean kilowatt-hours,32420
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,20,Office,09,E,Mean kilowatt-hours,24374
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,20,Office,10,F- G,Mean kilowatt-hours,16963
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,20,Office,-,All BER ratings,Mean kilowatt-hours,34418
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,30,Primary health care,13,A - B,Mean kilowatt-hours,24304
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,30,Primary health care,07,C,Mean kilowatt-hours,23698
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,30,Primary health care,08,D,Mean kilowatt-hours,15106
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,30,Primary health care,09,E,Mean kilowatt-hours,11736
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,30,Primary health care,10,F- G,Mean kilowatt-hours,10275
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,30,Primary health care,-,All BER ratings,Mean kilowatt-hours,15050
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,40,Restaurant/public house,13,A - B,Mean kilowatt-hours,44932
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,40,Restaurant/public house,07,C,Mean kilowatt-hours,45644
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,40,Restaurant/public house,08,D,Mean kilowatt-hours,47145
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,40,Restaurant/public house,09,E,Mean kilowatt-hours,46443
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,40,Restaurant/public house,10,F- G,Mean kilowatt-hours,39626
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,40,Restaurant/public house,-,All BER ratings,Mean kilowatt-hours,45493
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,50,Retail,13,A - B,Mean kilowatt-hours,57067
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,50,Retail,07,C,Mean kilowatt-hours,36490
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,50,Retail,08,D,Mean kilowatt-hours,23525
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,50,Retail,09,E,Mean kilowatt-hours,17650
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,50,Retail,10,F- G,Mean kilowatt-hours,22473
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,50,Retail,-,All BER ratings,Mean kilowatt-hours,33078
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,-,Total of selected building types,13,A - B,Mean kilowatt-hours,59704
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,-,Total of selected building types,07,C,Mean kilowatt-hours,38892
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,-,Total of selected building types,08,D,Mean kilowatt-hours,28384
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,-,Total of selected building types,09,E,Mean kilowatt-hours,23048
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,-,Total of selected building types,10,F- G,Mean kilowatt-hours,20805
NBEREL01C01,Non-Domestic Electricity Consumption,2015,2015,-,Total of selected building types,-,All BER ratings,Mean kilowatt-hours,
NBEREL01C01,Non-Domestic Electricity Consumption,2016,2016,10,Community/day centre,13,A - B,Mean kilowatt-hours,27143
NBEREL01C01,Non-Domestic Electricity Consumption,2016,2016,10,Community/day centre,07,C,Mean kilowatt-hours,30390
NBEREL01C01,Non-Domestic Electricity Consumption,2016,2016,10,Community/day centre,08,D,Mean kilowatt-hours,22283
NBEREL01C01,Non-Domestic Electricity Consumption,2016,2016,10,Community/day centre,09,E,Mean kilowatt-hours,27938
NBEREL01C01,Non-Domestic Electricity Consumption,2016,2016,10,Community/day centre,10,F- G,Mean kilowatt-hours,17498
NBEREL01C01,Non-Domestic Electricity Consumption,2016,2016,10,Community/day centre,-,All BER ratings,Mean kilowatt-hours,24202
NBEREL01C01,Non-Domestic Electricity Consumption,2016,2016,20,Office,13,A - B,Mean kilowatt-hours,97049
NBEREL01C01,Non-Domestic Electricity Consumption,2016,2016,20,Office,07,C,Mean kilowatt-hours,47680
NBEREL01C01,Non-Domestic Electricity Consumption,2016,2016,20,Office,08,D,Mean kilowatt-hours,32076
NBEREL01C01,Non-Domestic Electricity Consumption,2016,2016,20,Office,09,E,Mean kilowatt-hours,24656
NBEREL01C01,Non-Domestic Electricity Consumption,2016,2016,20,Office,10,F- G,Mean kilowatt-hours,17102
NBEREL01C01,Non-Domestic Electricity Consumption,2016,2016,20,Office,-,All BER ratings,Mean kilowatt-hours,34762
NBEREL01C01,Non-Domestic Electricity Consumption,2016,2016,30,Primary health care,13,A - B,Mean kilowatt-hours,40392
NBEREL01C01,Non-Domestic Electricity Consumption,2016,2016,30,Primary health care,07,C,Mean kilowatt-hours,24927
NBEREL01C01,Non-Domestic Electricity Consumption,2016,2016,30,Primary health care,08,D,Mean kilowatt-hours,13814
NBEREL01C01,Non-Domestic Electricity Consumption,2016,2016,30,Primary health care,09,E,Mean kilowatt-hours,10549
NBEREL01C01,Non-Domestic Electricity Consumption,2016,2016,30,Primary health care,10,F- G,Mean kilowatt-hours,9204
